location,parameter,unit,country,city,date.utc,coordinates_latitude,coordinates_longitude,avgvalue
Fort Lee Near Road,co,ppm,US,New York-Northern New Jersey-Long Island,00:00.0,40.85355,-73.9661,0.26
Fresno - Garland,co,ppm,US,FRESNO,00:00.0,36.78538,-119.77321,0.510322581
G.T.Craig,co,ppm,US,Cleveland-Elyria-Mentor,00:00.0,41.492191,-81.678552,0.147692308
GRAND RAPIDS,co,ppm,US,Grand Rapids-Wyoming,00:00.0,42.984699,-85.671097,0.395689655
Galleria,co,ppm,US,Cleveland-Elyria-Mentor,00:00.0,41.504661,-81.690186,0.183333333
Garden,co,ppm,US,Anchorage,00:00.0,61.205861,-149.8246,0.176470588
Glendora - Laurel,co,ppm,US,Los Angeles-Long Beach-Santa Ana,00:00.0,34.1439,-117.8508,0.395490196
Greeley - Weld Co. T,co,ppm,US,Greeley,00:00.0,40.3861,-104.7367,0.271929825
HAMPTON,co,ppm,US,Virginia Beach-Norfolk-Newport News,00:00.0,37.103683,-76.386948,0.123333333
HU-Beltsville,co,ppm,US,Washington-Arlington-Alexandria,00:00.0,39.055302,-76.878304,0.295245902
Hartford-Huntley,co,ppm,US,Hartford-West Hartford-East Hartford,00:00.0,41.771444,-72.679923,0.492666667
Hawthorne,co,ppm,US,Salt Lake City,00:00.0,40.733501,-111.871696,0.425806452
Honolulu,co,ppm,US,Honolulu,00:00.0,21.310301,-157.858093,0.03220339
Horicon Wildlife Are,co,ppm,US,DODGE,00:00.0,43.46611,-88.621109,0.0734
Howard County Near R,co,ppm,US,HOWARD,00:00.0,39.143197,-76.846192,0.323103448
I25 Denver,co,ppm,US,Denver-Aurora,00:00.0,39.732144,-105.015313,0.571666667
Indpls - I-70 E,co,ppm,US,Indianapolis,00:00.0,39.787933,-86.13088,0.173023256
Indpls- Illinois St,co,ppm,US,Indianapolis,00:00.0,39.768056,-86.16,0.343225806
Indpls-Washington Pa,co,ppm,US,Indianapolis,00:00.0,39.8108,-86.1147,0.225238095
Jackson NCORE,co,ppm,US,Jackson,00:00.0,32.329111,-90.182722,0.142033898
Jerome Mack,co,ppm,US,Las Vegas-Paradise,00:00.0,36.141875,-115.078742,1.114489796
Jersey City,co,ppm,US,New York-Northern New Jersey-Long Island,00:00.0,40.731689,-74.066566,0.510909091
Kapolei,co,ppm,US,Honolulu,00:00.0,21.323601,-158.088593,0.19016129
LAX-Hastings,co,ppm,US,Los Angeles-Long Beach-Santa Ana,00:00.0,33.95507,-118.43046,0.341746032
La Casa NCORE - 4545,co,ppm,US,Denver-Aurora,00:00.0,39.7794,-105.00523,0.450847458
La Habra,co,ppm,US,Los Angeles-Long Beach-Santa Ana,00:00.0,33.925062,-117.952586,0.384576271
Lab Annex,co,ppm,US,MIAMI - DADE,00:00.0,25.798333,-80.210278,0.103846154
Lake Elsinore - W. F,co,ppm,US,Riverside-San Bernardino-Ontario,00:00.0,33.676535,-117.331027,0.496065574
Lakeville - Near Roa,co,ppm,US,DAKOTA,00:00.0,44.706123,-93.285803,0.074912281
Laney College,co,ppm,US,San Francisco-Oakland-Fremont,00:00.0,37.793624,-122.263376,0.407321429
Lindon,co,ppm,US,Provo-Orem,00:00.0,40.3414,-111.7136,0.103225806
Londonderry - Moose,co,ppm,US,ROCKINGHAM,00:00.0,42.862531,-71.38014,0.194920635
Long Beach - Hudson,co,ppm,US,Los Angeles-Long Beach-Santa Ana,00:00.0,33.802417,-118.219933,0.56440678
Look Rock - GSMNP,co,ppm,US,Knoxville,00:00.0,35.6322,-83.9422,0.147647059
MATH & SCIENCE CTR,co,ppm,US,Richmond,00:00.0,37.55652,-77.40027,0.238793103
MICMAC,co,ppm,US,AROOSTOOK,00:00.0,46.6964,-68.033096,0.146507937
MILWAUKEE COLLEGE AV,co,ppm,US,MILWAUKEE,00:00.0,42.93257,-87.93434,0.336034483
MLK,co,ppm,US,Philadelphia-Camden-Wilmington,00:00.0,39.7394,-75.5581,0.337301587
MON,co,ppm,US,PHILADELPHIA,00:00.0,39.988842,-75.207205,0.441428571
MUNRO STREET,co,ppm,US,HILLSBOROUGH,00:00.0,27.955133,-82.469532,0.254262295
