location,parameter,unit,country,city,date.utc,coordinates_latitude,coordinates_longitude,avgvalue
Hammond-167th St,pm25,µg/m³,US,Chicago-Naperville-Joliet,00:00.0,41.594427,-87.495044,25.91428571
Harriman,pm25,µg/m³,US,Harriman,00:00.0,35.9386,-84.5439,9.666666667
Harrisburg,pm25,µg/m³,US,Harrisburg-Carlisle,00:00.0,40.246992,-76.846988,6.4
Hartford-Huntley,pm25,µg/m³,US,Hartford-West Hartford-East Hartford,00:00.0,41.771444,-72.679923,4.521428571
Hattiesburg,pm25,µg/m³,US,Hattiesburg,00:00.0,31.322779,-89.287498,12.27857143
Haverhill,pm25,µg/m³,US,Boston-Cambridge-Quincy,00:00.0,42.7708,-71.1028,2.615384615
Havre,pm25,µg/m³,US,MT1,00:00.0,48.551019,-109.677483,6.571428571
Haws Athletic Center,pm25,µg/m³,US,Dallas-Fort Worth-Arlington,00:00.0,32.7592,-97.3414,18.30714286
Hawthorne,pm25,µg/m³,US,Salt Lake City,00:00.0,40.733501,-111.871696,11.58571429
Healdton,pm25,µg/m³,US,Ardmore,00:00.0,34.256901,-97.474197,5.2
