location,parameter,unit,country,city,date.utc,coordinates_latitude,coordinates_longitude,avgvalue
E. Milton - Blue Hil,o3,ppm,US,Boston-Cambridge-Quincy,00:00.0,42.2117,-71.114403,0.033142857
EAGLEMT,o3,ppm,US,POLK,00:00.0,34.4544,-94.1433,0.042142857
EFFINGHM,o3,ppm,US,Effingham,00:00.0,39.0667,-88.548302,0.012928571
EVANSTON,o3,ppm,US,Chicago-Naperville-Joliet,00:00.0,42.0622,-87.6736,0.030571429
Eagle Mountain Lake,o3,ppm,US,Dallas-Fort Worth-Arlington,00:00.0,32.9881,-97.4764,0.010214286
East Hartford,o3,ppm,US,Hartford-West Hartford-East Hartford,00:00.0,41.7847,-72.6297,0.034
Edgar Evins,o3,ppm,US,DE KALB,00:00.0,36.0388,-85.7331,0.021769231
Edison,o3,ppm,US,Bakersfield,00:00.0,35.345607,-118.851825,0.015666667
El Cajon - Lexington,o3,ppm,US,San Diego-Carlsbad-San Marcos,00:00.0,32.789561,-116.944222,0.0185
El Centro - 9th Stre,o3,ppm,US,El Centro,00:00.0,32.7917,-115.5617,0.025642857
El Paso UTEP C12,o3,ppm,US,El Paso,00:00.0,31.768056,-106.501111,0.005153846
El Rio - Rio Mesa Sc,o3,ppm,US,Oxnard-Thousand Oaks-Ventura,00:00.0,34.2653,-119.1336,0.010785714
Elk Grove,o3,ppm,US,Sacramento--Arden-Arcade--Roseville,00:00.0,38.302591,-121.420838,0.008071429
Ellyson Industrial P,o3,ppm,US,Pensacola-Ferry Pass-Brent,00:00.0,30.525,-87.204399,0.025
Emporia,o3,ppm,US,Anderson,00:00.0,40.0025,-85.6569,0.023
Enoch,o3,ppm,US,IRON,00:00.0,37.747445,-113.055524,0.017230769
Erda,o3,ppm,US,TOOELE,00:00.0,40.600556,-112.355,0.0205
Erie,o3,ppm,US,Erie,00:00.0,42.1428,-80.0372,0.029866667
Essex,o3,ppm,US,Baltimore-Towson,00:00.0,39.310833,-76.474444,0.020833333
Evansville-Buena Vis,o3,ppm,US,Evansville,00:00.0,38.0133,-87.5772,0.0165
FRAYSER,o3,ppm,US,Memphis,00:00.0,35.2175,-90.0194,0.014076923
Fairfield,o3,ppm,US,Vallejo-Fairfield,00:00.0,38.227066,-122.075624,0.009454545
Fairgrounds,o3,ppm,US,Tucson,00:00.0,32.0475,-110.7739,0.0352
Fairhaven2,o3,ppm,US,BRISTOL,00:00.0,41.6454,-70.898,0.033857143
Fairland,o3,ppm,US,Indianapolis,00:00.0,39.613367,-85.870669,0.019142857
Fall River,o3,ppm,US,Providence-New Bedford-Fall River,00:00.0,41.6833,-71.169701,0.032857143
Fallon,o3,ppm,US,CHURCHILL,00:00.0,39.472471,-118.783624,0.0059
Farrell,o3,ppm,US,Youngstown-Warren-Boardman,00:00.0,41.215,-80.485,0.028933333
Fayetteville,o3,ppm,US,WASHINGTON,00:00.0,36.011703,-94.167436,0.00475
Fernley,o3,ppm,US,LYON,00:00.0,39.602739,-119.247853,0.021
Fl. Baptist Children,o3,ppm,US,Lakeland,00:00.0,28.0294,-81.9719,0.019888889
Flagler County,o3,ppm,US,FLAGLER,00:00.0,29.489082,-81.276833,0.014111111
Flagstaff Middle Sch,o3,ppm,US,Flagstaff,00:00.0,35.206111,-111.652778,0.028666667
Flemington,o3,ppm,US,New York-Northern New Jersey-Long Island,00:00.0,40.515251,-74.806755,0.032285714
Flora,o3,ppm,US,Lafayette,00:00.0,40.540556,-86.553056,0.012142857
Florence,o3,ppm,US,Pittsburgh,00:00.0,40.4447,-80.42,0.0214
Fontana - Arrow High,o3,ppm,US,Riverside-San Bernardino-Ontario,00:00.0,34.100132,-117.491982,0.0058
Fort Collins - CSU -,o3,ppm,US,Fort Collins-Loveland,00:00.0,40.5764,-105.0794,0.004692308
Fort Collins - West,o3,ppm,US,Fort Collins-Loveland,00:00.0,40.59254,-105.1411,0.028285714
Fort Wayne-Beacon St,o3,ppm,US,Fort Wayne,00:00.0,41.094965,-85.101816,0.013142857
Fountain Hills,o3,ppm,US,Phoenix-Mesa-Scottsdale,00:00.0,33.611,-111.7253,0.033733333
Freedom 7 Elementary,o3,ppm,US,Palm Bay-Melbourne-Titusville,00:00.0,28.3108,-80.6156,0.001888889
Freemansburg,o3,ppm,US,Allentown-Bethlehem-Easton,00:00.0,40.6281,-75.3411,0.033666667
French Settlement,o3,ppm,US,Baton Rouge,00:00.0,30.315,-90.8114,0.023785714
Fresno - Drummond St,o3,ppm,US,Fresno,00:00.0,36.7056,-119.7414,0.00275
Fresno - Garland,o3,ppm,US,FRESNO,00:00.0,36.78538,-119.77321,0.004
Frisco C31,o3,ppm,US,Dallas-Fort Worth-Arlington,00:00.0,33.1325,-96.7861,0.009357143
Ft McD Yuma Frank-AZ,o3,ppm,US,Phoenix-Mesa-Scottsdale,00:00.0,33.6292,-111.676903,0.020142857
